RegionID,SizeRank,RegionName,RegionType,StateName,State,StateCodeFIPS,MunicipalCodeFIPS,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
2804,57,Milwaukee County,county,WI,WI,55,079,137926.70754608692,138657.0463947719,139343.9815440135,140041.89517135939,140741.84053580326,141306.74967938135,141920.19371901322,142351.365292115,142788.5602657294,143153.0122556063,143915.7262548789,145106.2069426358,146421.81896856774,147666.91680783333,148905.48179917454,150100.20561228602,151180.08448476248,151696.54841560815,152314.73656859752,152947.88571788042,153784.31855896427,154174.9817158852,154588.53468744844,155300.91298415363,156675.19167095632,158457.75080076922,160195.31630156454,161481.39354879592,162290.43352437273,162618.38634531986,162902.44636195898,163115.97951212266,163428.10028391654,163843.71009608128,164518.65142310198,165634.88280153353,167184.7883645213,168767.14355610686,170318.66953961036,171664.6504131496,172673.04473053463,173249.79077867858,173733.03064033177,174758.39822761604,176698.9270271215,179330.59096452311,182405.53875069405,185443.8973229955,188377.48173685712,191300.61232708496,194207.5013875479,197189.59022691706,200379.55975554496,203808.62964132623,206141.997933071,206808.30540181036,205817.30970862103,204599.97263615756,203789.6500365697,203613.81407053667,204756.3021574232,207163.94791331934,210600.14526361486,214441.3229621118,217889.9404345561,220849.48762962606,222230.1941291884,222170.30142660867,221316.2987619813,220807.18740483807,221035.0915694088,221764.231657036,222626.12228291368,224207.5076380272,226444.33736697197,229530.09977761944,232782.83695371682,235680.8630741577,237783.42994966023,239358.58193755557,240499.68521810035,241606.45507469928,242390.87323615444,242992.21141995033,243590.5600292075,245089.1455051209,247449.06144415107,250066.56742378662,252026.18066093186,253112.3405382547,253789.46960252363,254404.98430331927,255286.97749509374,256197.93022231458,257018.55081138574,257998.6740210571
146,122,Dane County,county,WI,WI,55,025,260021.15535510177,261178.00186041105,262301.2774843877,263724.3986643092,265181.49378900643,266639.1487231993,267845.3642725654,268716.37335048016,269532.8745264415,270464.8762167743,271663.07145941345,272878.3636231125,274087.1670363666,275229.23853844864,276778.77884995885,278522.1350202793,280521.54777264665,282067.09171975794,283744.5846678212,285120.3632460039,286091.35417528334,286301.19875690626,286395.8343075604,286962.08888011076,287962.8484153936,289325.97743815655,290761.49769203115,292046.8908547219,293058.0263267656,293955.3078527579,294696.5359663412,295364.52291933825,295827.042191854,296642.3177188343,297787.2713032815,299162.18373607175,300757.3253677815,302511.9663349222,304606.882261683,306444.73524064285,307573.1312146266,308143.1058856996,308720.695598205,310384.68042147154,313306.471672138,317091.3202911603,320825.2324717772,324091.59494094056,326785.71536734403,329836.42788956774,333378.7988239359,337832.54725501314,343005.1434484699,347872.77953689353,351360.09751206095,352638.89962819224,352400.21232814295,351993.5884361023,352371.4970269886,353965.08366073825,356917.38418213854,360876.41925412166,366446.48144608404,372942.06207449874,379490.70899136394,384354.3852683042,386409.258301195,385807.45647017984,384166.4432618155,383188.32632755657,383338.44950780895,384461.6966625221,386087.5198088189,388360.86232775025,391386.301943206,395309.7541995601,399220.91591737483,402360.5214811825,404643.55192923965,406526.3263381045,408303.98727832834,409378.2946027873,410060.7423622068,410167.818505399,410927.6690427049,413043.4056433362,416992.2557404248,421310.38189424976,424756.59218933893,426883.4786864805,428474.78590119863,429818.949241579,430963.2854116278,432014.41510754515,433465.6575861085,435395.0203723141
2596,174,Waukesha County,county,WI,WI,55,133,279672.01800587546,280657.5649727166,281298.6429093943,282457.09496669046,283975.82482623676,285621.58802144503,286926.8037191296,287807.19596026913,288772.75956630125,289883.2481152588,291069.2264893971,292332.25637040375,293434.85643060895,294639.27757623635,296115.6772907301,297778.30747631605,299650.0868239025,301058.9180541148,302724.95939326327,303873.69226730644,304829.6805257417,305047.2717939143,305349.13208524365,305839.67987523373,306930.1619275772,308979.6953245802,311219.3429280782,312844.17601438536,313866.9758043901,314977.5627414766,316575.95042616705,317943.3222573572,318911.95371021127,319732.203554759,320954.669647817,322359.10932864813,324048.3189423744,325846.76920552575,328137.0869406034,330428.3585291147,331969.19403605844,332401.7455902351,332408.18948815047,333167.8462278028,335671.0628816206,339178.54937235476,343005.82832526177,346745.9987190154,350296.3344452015,353884.7803931742,357001.21607900976,360422.5742953594,364826.4688937319,369421.5625555979,373355.81848424365,374805.77499453555,374486.7077807058,373328.1084993715,372991.52680994495,373696.37329130084,375440.3817989283,378166.04080573743,382665.0965009136,388696.72901699186,394621.4564118292,399015.7099599559,400518.19897865114,399939.94216030696,398486.22652549134,397680.8820333369,397818.1569594439,398813.4588446198,401671.4473633079,404375.11095526203,407877.96457309974,410847.8000322448,414194.66188003373,416896.8038890035,418907.97112572024,421421.3549714107,423620.38984639983,425213.59172809025,426215.564574538,426592.9661080236,427016.0470232223,428437.84908993955,432281.63369542855,437192.91578748246,441076.35762909026,443498.37696377496,444432.2279064772,445752.7761848483,446424.0165548953,447767.74933763425,449020.64679994667,450742.1377857944
410,259,Brown County,county,WI,WI,55,009,170769.16647995613,171800.07927590355,172936.7096724276,174141.83405164178,175295.59078609027,176484.04584894315,177483.56994648976,178432.30522296252,179303.25189711107,180442.9536602651,181555.70886469205,182143.81618542373,182509.7024911873,183056.20424239655,184191.2038585154,185333.21261786306,186515.58372394147,187716.7063868017,189244.33371239607,190211.9071423118,190799.24441898338,190732.54389575133,191088.793820538,191746.1890885633,192669.11398847157,193697.75328786531,194890.37358286124,196076.8182383225,197118.5741573025,198172.42368681115,199287.8330380953,200370.16124945562,201161.50930746083,202017.95845142714,203007.74392377096,203965.6841805651,204905.59477089797,205682.9072900441,206598.0331954946,207710.58321180858,208721.23059324865,209639.8304771131,210540.6295597522,212136.76164834097,214829.68077691318,218295.9360532918,221567.6584888477,224274.78798266384,226398.5066418117,228628.917889987,230962.8588005821,233926.31353312256,237920.65759721387,242458.70301052753,246588.80928961086,248840.88816464544,249775.85436840847,249922.2553597956,250630.06037149762,251538.5093204544,253551.2324295633,256469.49682565036,260306.60028202957,264728.8793318073,268879.42615327303,272047.17063928186,273064.31140896084,272369.4896683437,271399.6611645432,271096.1875487834,271759.47423167765,272767.6899765267,274504.16567897715,276297.24652176816,278763.0485263869,281169.1130269487,283419.0899173932,285228.1125178331,287262.7941246116,290195.4118113006,292920.4182050083,294434.62837103725,295119.44961829466,295509.12219336274,296500.7556293095,298243.11583792,301474.70187996404,305427.7856241199,308523.1428234577,310371.2717422047,311044.29225701763,311697.5692976285,312557.0238049962,314006.72194770054,315975.63697803346,318204.3173718649
1348,342,Racine County,county,WI,WI,55,101,150553.54480110927,151119.58116398123,151727.3270111576,152646.02478954426,153742.69153014143,154779.14855998804,155661.70423392058,156543.81691243246,157556.7764893968,158680.8316353465,159906.01349643827,161076.50162682476,162120.3260080828,163192.74989358408,164382.43131960765,165719.15089511048,167091.93434840263,168382.9653475775,169843.2370683858,171143.87176979263,172454.70775300192,173383.71053755624,174430.94369842255,175643.28745001552,176719.1827348719,177888.82190652736,178827.55823902026,179904.07232332937,180824.56720593022,181425.9315977622,181811.0721282851,182130.99527080843,182597.76363845394,183186.13299462685,183904.45693691107,184773.9116723792,185678.2679000155,186645.11465194123,188004.0206316153,189576.9317880907,190502.82296246846,190468.9276057474,190356.94855474556,190955.67458007857,192774.58804520871,195367.7002975845,198400.78462812337,201371.4377722091,203830.78064576714,206315.3014452015,208946.03796816504,212065.11632319028,215435.45517331338,218687.42154891544,221351.31982855557,223052.7269602147,223999.590733308,224655.70084599068,225337.3178176456,225881.6088943413,226974.4539971146,228660.2472712767,231310.37404483114,234579.0567634469,237917.5126131971,241035.49080021097,242608.16451454558,242576.28947776998,241269.5849599763,239925.19739849647,239289.9768598968,239408.53201629827,240495.49374624182,242001.94955793422,244191.69773858984,246561.25372097825,249256.50284716208,251206.2197663614,252307.62977959108,253053.95210588304,253938.6951134509,254836.01560964354,255455.08004417596,255408.76929824273,255859.99081239323,257066.8557692923,259485.51604673057,262076.03938374796,263768.93900829594,264998.99866351363,265921.3087259324,267164.75592609,268273.8816266122,269371.8601201047,270418.01089248765,271467.0512377895
2820,352,Outagamie County,county,WI,WI,55,087,164760.91241500087,165719.36097548952,166797.3938137222,168028.97460134758,169048.6786930881,170096.38984227556,171025.67197887134,171808.6237345311,172363.28106184857,173030.52617350125,173909.12854909024,174825.61720490546,175652.33015815858,176617.31903163096,177826.64019671132,179023.07618734016,180071.04072997198,180866.52096626465,181917.96095897743,182699.9598498371,183468.73836447866,183771.93409383917,184301.76556596826,185013.73549300665,186138.84831603593,187748.39943695022,189528.7739612724,191175.62601602837,192583.48790546495,193856.96176672968,194955.3716285551,195892.17586963903,196589.97866586622,197406.43767892045,198418.4675657803,199361.36339751887,200048.32660545898,200465.16894363108,201172.30435008366,202213.18210775394,203334.31992569452,204090.2607302462,204830.78136934884,205922.53647114185,208108.86411415832,211038.0668361045,213896.07121376236,216147.7060303438,217714.14040498072,219331.3043350304,221265.7035349959,223709.30115199913,227177.8705058745,231209.7797029457,235317.78503746877,237950.38603546735,239362.47272113748,240069.41217196593,241141.40388202612,242616.84447627235,244733.6114233091,247389.36927707426,250542.79717479798,254410.51740159103,258165.75720202646,261406.3082232068,262830.63951531233,262882.6775452006,262200.4854396418,261934.27626342504,262391.5681072381,263617.51607548865,266282.65634015156,268591.9201194381,271298.8668159977,273674.06294640875,276582.7824958353,279022.9040315754,280830.8390392805,283038.6029074671,284877.5976040302,286016.56540010596,286490.03271718096,286706.6382529961,287124.60010199295,288308.1514282964,290619.6970608579,293592.57853028504,295457.3139686344,296650.5264147839,297319.0368977306,298220.8370522342,299008.38724731834,300388.68311239086,302468.37051757926,304825.59403106273
2878,386,Winnebago County,county,WI,WI,55,139,154509.4030765145,155128.9143432835,155933.60161191295,156781.38479274107,157543.10810159685,158309.85643204392,159055.0491131588,159772.9050134725,160613.967827282,161622.3837758116,162571.6996992297,163210.21376279963,163852.76224631778,164749.11411575295,165810.4722311663,166705.10548558657,167662.16529982365,168610.29397451054,169863.56923469258,170607.86849599754,171068.12017880587,170957.66613364857,171124.0919617013,171476.2317731908,172291.2665458097,173544.40097854857,175170.00653359704,176781.50775251025,178027.09301713447,178929.16698377382,179435.44487686377,179707.79335504086,179963.77699424277,180459.5418025724,181199.85415002936,181931.2774060668,182929.31457925934,183968.71616527732,185246.58454338042,186427.59866609483,187441.45248713763,188197.07349014064,189023.09839305564,190480.84707205408,192946.71151476188,196030.55027428627,198830.6987890381,201149.67469188664,202877.72847113098,204701.05516165416,206532.18929504685,208891.43126035514,212168.56674112077,216131.97565578576,219421.97066458175,220875.32891301438,220665.78331782712,220153.98003955118,220479.4265950153,221508.51632133988,223488.41840217702,226075.34954894474,229427.171973991,233163.85137994352,236632.50829665735,239531.18043731237,240900.6104068317,240821.29777116491,239970.31326206366,239281.4480038161,239313.85573974703,239702.25563273058,240987.25622589953,242452.19074572346,244268.3342092367,245911.54483732712,247789.5577409342,249557.9797775849,250929.6170612548,252249.50849992692,253247.74225198093,253850.14253056864,254012.98636329523,253831.58793816392,253897.88044135258,254839.40100524147,257130.5698924597,260010.3191782016,262351.4174505218,263712.56892435165,264549.6126867767,265255.502776831,266138.72018796165,267499.6167440807,269201.85635961225,271224.6924420344
1837,391,Kenosha County,county,WI,WI,55,059,160678.0921392685,161771.88770825753,162999.15688007575,163958.01248813872,164784.38812637984,165408.4311564047,166305.02111330468,167115.25686435573,168123.14526707886,168931.4748798669,170007.58778280823,171123.8307954301,172420.50424788453,173798.3989020176,175229.40110672757,176487.48526951284,177389.23550495598,178236.70664304905,179447.0560014324,180936.53687185116,182437.38907339008,183571.0484248784,184824.36024079783,186228.68831690727,188181.72538951496,190464.81587733966,192701.64223077672,194363.48736830242,195500.44139873306,196354.8759976339,197226.84942990993,198020.93113799856,198639.27470619578,199019.82345888982,199619.99577289284,200314.31065869448,201403.94593302137,202278.53905573356,203539.80463967504,204914.93998061641,205792.78872554275,205882.87495104608,205592.39627784558,206000.85829979027,207894.79810689008,210815.12684910162,214279.56636568872,217482.2233571829,220210.05856246245,222680.96367509736,225213.16207402435,228210.00296513177,231683.30931695938,235280.32239801588,237828.3708507301,238608.88842514623,237819.22707654792,236740.0102022656,236223.255443104,236157.92289241773,237630.39721908187,240568.07517366143,244582.47943487624,248572.29108104148,252040.3585596039,255018.33190472785,256452.08148604116,256074.28878426156,254454.10282057888,252963.094621312,252345.92110426383,252558.60437027088,253576.62143472547,255233.66206787154,257145.26847308638,259076.16672783243,261104.35410889713,263266.78311941976,265113.83912433474,266680.8004401609,268090.60723540414,269268.42114521033,270319.1950808977,270984.7444375516,271729.8095810141,272781.2708047906,274849.4046431842,277406.6480656048,279685.014384565,281141.0276853336,282067.72324757994,282978.8818036002,283970.7672005839,285060.2210052808,286487.12055359484,288587.18466928037
308,408,Rock County,county,WI,WI,55,105,136107.80928855232,136919.8534413176,137911.77900824047,139150.98552902104,140436.8467644402,141710.89142914288,142886.33858569505,143776.09175637783,144416.90348548497,144933.88282961978,145878.96607622496,146921.9923911556,147701.12400181938,148329.0642163778,149240.93267461384,150493.85902278274,151734.0869439898,152690.52942980852,153908.19286581315,155120.50050233773,156089.06831853685,156484.1636828639,157026.96888056785,157910.40620999804,158968.0130972841,160183.27780298967,161633.62647166345,162981.4599493274,163965.40883200173,164466.1788083577,164826.16709202682,165038.45631157368,165343.8161572691,165841.3767744023,166634.58596876054,167572.12430833682,168737.59165527314,169960.72091191183,171239.91608091004,172627.25625519056,173584.7344062602,174040.89937530158,174300.48202133738,175268.4980807881,177373.135969616,180152.44805610937,183026.52314302642,185556.9043644408,187602.41050895382,189729.2174204845,192038.27098952365,194667.58682709676,197798.16914450435,201201.27225239525,204424.7048281557,206230.1914711782,206913.14204336944,207202.39922504438,208045.97647670217,209270.25036713792,210805.68377453802,212850.55800099383,215154.08353797425,217883.75352641885,220395.85699575464,222702.42905093706,223896.0599003688,223859.7026234521,223245.20147087437,222964.78184476678,223244.3295768696,224133.43421721846,225648.4515761867,227479.40952343054,229427.73092359715,231227.03694495265,233506.00953541533,235519.34534891203,237028.78322787737,238331.19865935904,239647.1040375655,240805.8619861782,241387.78280916266,241738.99102133318,242315.99929551245,243680.08620085273,245993.89222952747,248858.26968040524,251213.1386360069,252769.08983514635,253652.4777830474,254270.72165277286,254814.17017574367,255602.76212869084,256811.66735918343,258691.3341736511
2401,474,Marathon County,county,WI,WI,55,073,138653.55085861764,139069.23199721458,139481.13932295173,139729.28136097852,140035.37517756506,140348.10271418074,140727.13386861086,141012.91325237934,141238.54861412736,141712.94278561545,142391.71000166613,143183.09396180222,143786.15574168853,144506.04729430718,145574.87763676004,146788.34113797478,148031.54405422058,148833.95869867425,149964.0284855633,150834.52567359377,151695.61840532828,151809.1591812315,152098.4980756001,152555.91657714173,153307.95177598402,154219.0695380194,155349.27256081798,156654.35566791688,157811.22224698693,158832.81077119542,159860.83658559946,161044.87301966397,162234.7225833646,163437.69242236312,164572.99373792636,165707.74354246218,166157.129425185,166235.65512708886,166107.85587320523,166585.39316846072,167454.37972705372,168546.97872582695,169900.54564629166,171649.92521117348,174205.1684919728,176138.97435095988,177244.39111959827,177312.17511261906,177495.7735711619,177807.1992383908,178252.94557387746,179003.27508158187,180877.26039036372,183529.1273433644,186601.95905202627,188285.4460189786,188794.09496953373,188583.77481584574,189099.0735280756,190051.35717104372,191402.58350857117,192655.4403981797,194006.5575517868,196232.98922541479,198753.45469728918,201313.50699655246,201951.53060760102,201205.47807090732,199655.7413983975,198800.81206778265,199002.22780738768,199962.28050140387,202505.90099161243,204619.24519173417,207427.68507018508,209914.2384653443,212797.85217307383,214680.14925756995,215831.19239726974,217647.91748637776,219683.2818176058,220720.6371991927,220851.84778953902,220369.05892755833,220322.50864592192,221246.3159250757,223403.54219859582,226380.44670300386,228181.5278857936,229374.824642982,229942.73691264924,230470.39335912451,230796.34217838792,231796.35429190763,233550.85548547414,235828.72485224679
